"","easting","northing"
"320",532068,4981727
"321",541688,4981406
"322",532315,4981436
"323",541949,4981358
"324",572942,4965679
"325",535125,4981087
"326",572310,4965413
"327",548132,4977222
"328",535036,4980293
"329",549454,4976410
"330",524309,4977497
"331",548511,4975818
"332",528192,4985557
"333",571322,4964861
"334",572239,4965255
"335",539170,4982376
"336",538394,4979769
"337",572233,4953304
"338",512128,4990538
"339",572212,4953737
"340",508089,4991712
"341",537977,4979944
"342",542866,4980510
"343",574123,4953504
"344",532475,4983399
"345",547572,4971032
"346",572137,4951862
"347",557222,4977637
"348",517606,4989837
"349",574740,4956491
"350",527257,4977645
"351",543946,4980769
"352",573681,4963899
"353",572850,4963804
"354",525484,4985447
"355",572660,4963872
"356",543314,4980401
"357",525715,4985563
"358",526580,4987860
"359",520163,4985368
"360",572770,4964013
"361",527197,4976890
"362",541568,4981437
"363",541904,4981395
"364",541277,4981478
"365",525241,4976822
"366",525473,4977123
"367",525057,4977002
"368",545903,4979254
"369",572447,4963552
"370",549589,4976441
"371",530204,4983393
"372",532988,4980346
"373",555627,4976986
"374",522815,4978851
"375",525492,4978791
"376",558225,4977766
"377",523028,4982855
"378",541773,4973645
"379",560388,4973437
"380",561374,4975341
"381",542076,4973443
"382",560311,4973581
"383",560227,4973818
"384",520144,4985369
"385",515144,4990843
"386",556474,4976795
"387",556661,4976403
"388",517351,4990285
"389",525541,4985744
"390",516925,4990628
"391",530278,4980934
"392",530168,4980968
"393",572134,4951855
"394",556478,4976852
"395",520110,4984579
"396",526149,4984681
"397",576931,4947442
"398",573590,4949071
"399",515322,4987464
"400",573632,4948837
"401",525825,4978527
"402",514176,4990133
"403",522328,4983197
"404",533423,4983037
"405",572163,4951586
"406",542142,4978808
"407",515150,4990868
"408",526994,4986897
"409",543108,4978444
"410",518550,4986481
"411",514231,4990008
"412",524875,4985781
"413",526918,4977337
"414",541915,4981044
"415",546238,4978033
"416",522354,4983129
"417",546156,4977947
"418",523800,4982200
"419",522360,4979041
"420",526046,4985176
"421",572062,4951809
"422",555427,4978350
"423",526430,4985832
"424",556471,4978872
"425",573433,4956753
"426",515969,4987540
"427",565423,4941080
"428",564827,4940908
"429",527416,4980015
"430",520427,4976527
"431",519894,4975375
"432",592014,4924549
"433",559571,4955580
"434",510686,4989402
"435",519953,4975572
"436",584162,4927980
"437",559113,4947412
"438",559017,4933506
"439",509237,4988508
"440",578854,4956139
"441",559472,4950207
"442",554448,4965962
"443",519185,4986575
"444",516612,4990642
"445",528602,4967699
"446",581254,4934019
"447",558213,4932921
"448",525275,4980973
"449",525250,4981201
"450",581666,4936704
"451",522881,4974261
"452",513109,4990819
"453",584507,4928553
"454",513516,4991439
"455",564222,4939286
"456",558728,4932959
"457",525707,4972636
"458",558712,4932698
"459",520161,4979838
"460",559335,4933354
"461",524838,4970857
"462",581216,4935702
"463",509600,4986051
"464",510516,4991219
"465",556242,4962926
"466",516724,4990823
"467",553264,4936688
"468",515258,4989624
"469",549109,4939314
