"","location_long","location_lat"
"1",-110.2618545,44.9038582
"2",-110.2617523,44.9033958
"3",-110.2593948,44.9050337
"4",-110.2528945,44.903201
"5",-110.2512863,44.9027753
"6",-110.2657399,44.8944674
"7",-110.2591453,44.9059933
"8",-110.2607513,44.9042193
"9",-110.2549217,44.9027897
"10",-110.2618238,44.9036572
"11",-110.2595255,44.9052852
"12",-110.3188993,44.9307937
"13",-110.2620319,44.9065497
"14",-110.2398356,44.9017183
"15",-110.2594991,44.9054254
"16",-110.1456909,44.9179011
"17",-110.2495081,44.9083641
"18",-110.2544251,44.9012557
"19",-110.253308,44.9078802
"20",-110.2468904,44.8947727
"21",-110.2677275,44.9076743
"22",-110.2617795,44.903852
"23",-110.254766,44.9033873
"24",-110.2542981,44.9033814
"25",-110.2554803,44.9008915
"26",-110.2591725,44.906343
"27",-110.2590219,44.9067046
"28",-110.2624501,44.9039216
"29",-110.2526456,44.8999066
"30",-110.2565774,44.8961353
"31",-110.259594,44.9017004
"32",-110.261451,44.9077776
"33",-110.2619107,44.903894
"34",-110.2621193,44.9038797
"35",-110.2623469,44.9039389
"36",-110.2616949,44.9077785
"37",-110.2621961,44.9036979
"38",-110.2619757,44.9072617
"39",-110.2595813,44.9054726
"40",-110.2620241,44.903899
"41",-110.2574999,44.9053251
"42",-110.2616858,44.9034335
"43",-110.2619892,44.9038121
"44",-110.2662255,44.908119
"45",-110.2401342,44.9031839
"46",-110.2620104,44.903889
"47",-110.2566226,44.9003249
"48",-110.2620535,44.9039253
"49",-110.2536227,44.900549
"50",-110.2534199,44.9015579
"51",-110.2573105,44.9027847
"52",-110.2615888,44.9033612
"53",-110.2590677,44.9064909
"54",-110.258967,44.9060538
"55",-110.2616512,44.9033667
"56",-110.2558312,44.8968265
"57",-110.2558031,44.9017806
"58",-110.2621254,44.9038175
"59",-110.2620455,44.903807
"60",-110.2588216,44.9049962
"61",-110.2588267,44.9049699
"62",-110.2616661,44.9034464
"63",-110.2620424,44.9035716
"64",-110.2534634,44.8956228
"65",-110.2594726,44.9053555
"66",-110.2619437,44.9048752
"67",-110.2613505,44.9077393
"68",-110.267274,44.9095221
"69",-110.2588613,44.9050217
"70",-110.2541225,44.9023082
"71",-110.2514841,44.904897
"72",-110.2497839,44.9041997
"73",-110.2614575,44.9062398
"74",-110.2466218,44.9031141
"75",-110.253987,44.9024068
"76",-110.2592988,44.9056677
"77",-110.2545867,44.9026066
"78",-110.2619927,44.9038497
"79",-110.2611727,44.9060386
"80",-110.2591536,44.9046918
"81",-110.2618343,44.9077773
"82",-110.2629896,44.9049036
"83",-110.2607077,44.9055815
"84",-110.2616125,44.9042999
"85",-110.2640997,44.9032126
"86",-110.2497754,44.897854
"87",-110.2555202,44.8991121
"88",-110.2615607,44.9034125
"89",-110.2546497,44.904547
"90",-110.2617128,44.9034055
"91",-110.2517027,44.8990272
"92",-110.2619042,44.9039779
"93",-110.2610013,44.9079617
"94",-110.2556993,44.9027548
"95",-110.2528759,44.8986945
"96",-110.2540295,44.9022971
"97",-110.2542593,44.9022287
"98",-110.2582269,44.9031565
"99",-110.2634778,44.9123927
"100",-110.253982,44.9039324
"101",-110.2620307,44.903887
"102",-110.2504621,44.9047485
"103",-110.2616952,44.9037317
"104",-110.2536627,44.8986047
"105",-110.2560536,44.8993262
"106",-110.2562746,44.9002757
"107",-110.261932,44.9036156
"108",-110.2597488,44.9048357
"109",-110.2563874,44.9016054
"110",-110.2847979,44.9090928
"111",-110.2614056,44.9060112
"112",-110.2546636,44.8986036
"113",-110.2540814,44.9037717
"114",-110.2679251,44.9094038
"115",-110.2671704,44.9088919
"116",-110.2541589,44.8985367
"117",-110.2597566,44.9048927
"118",-110.2658827,44.9050737
"119",-110.2530297,44.9013487
"120",-110.2473562,44.9029603
"121",-110.2614718,44.9061997
"122",-110.2466171,44.9034502
"123",-110.2619263,44.9038969
"124",-110.2676752,44.9030005
"125",-110.2585154,44.9036212
"126",-110.2607322,44.9034242
"127",-110.2475806,44.9027459
"128",-110.262044,44.9037302
"129",-110.2620581,44.9038145
"130",-110.2574176,44.8999584
"131",-110.2616906,44.903456
"132",-110.2589792,44.9009299
"133",-110.2584841,44.901183
"134",-110.2618943,44.9039077
"135",-110.2540496,44.9040706
"136",-110.2547008,44.9040405
"137",-110.2597993,44.9056488
"138",-110.2503522,44.9039847
"139",-110.2542891,44.9062122
"140",-110.2627089,44.9052434
"141",-110.2589125,44.9050831
"142",-110.2636947,44.9032298
"143",-110.255111,44.9017186
"144",-110.2616767,44.9034725
"145",-110.2593213,44.9060565
"146",-110.2773216,44.9065315
"147",-110.2613931,44.9077445
"148",-110.2564048,44.9069714
"149",-110.2540882,44.9025199
"150",-110.2622079,44.9037921
"151",-110.2620814,44.9037927
"152",-110.2515427,44.9073223
"153",-110.2544343,44.9023996
"154",-110.2542777,44.902109
"155",-110.255557,44.9094592
"156",-110.2592662,44.9088516
"157",-110.2575199,44.9070428
"158",-110.262017,44.9038287
"159",-110.2618134,44.9036538
"160",-110.2535739,44.9015405
"161",-110.2562611,44.9005609
"162",-110.2455514,44.9034416
"163",-110.254904,44.8987522
"164",-110.266605,44.9036618
"165",-110.2619673,44.9036862
"166",-110.252452,44.8972527
"167",-110.2630583,44.9041683
"168",-110.256552,44.8961113
"169",-110.2634818,44.9073369
"170",-110.2637131,44.9075321
"171",-110.2607114,44.9042234
"172",-110.2562312,44.8978317
"173",-110.2542193,44.9043424
"174",-110.25415,44.9037796
"175",-110.2558935,44.901655
"176",-110.2620215,44.9038528
"177",-110.2539401,44.9060205
"178",-110.2584723,44.9028762
"179",-110.2617113,44.9033743
"180",-110.2611991,44.9058925
"181",-110.2617201,44.9033732
"182",-110.2764463,44.9045722
"183",-110.2532271,44.8959652
"184",-110.2626567,44.9047712
"185",-110.2629114,44.9074032
"186",-110.250512,44.9031515
"187",-110.2626486,44.9049295
"188",-110.2630133,44.9048851
"189",-110.2626479,44.904601
"190",-110.2626757,44.9053738
"191",-110.2543496,44.8990633
"192",-110.2556741,44.8987017
"193",-110.2564016,44.8985961
"194",-110.2585567,44.9067933
"195",-110.26173,44.9038331
"196",-110.2454365,44.9021734
"197",-110.2646159,44.9021067
"198",-110.2603454,44.9077007
"199",-110.2663498,44.9034862
"200",-110.2482736,44.9002964
"201",-110.2664058,44.9034698
"202",-110.2665801,44.9034526
"203",-110.2664397,44.9034842
"204",-110.2667489,44.9036189
"205",-110.2669703,44.9034238
"206",-110.2619098,44.9039272
"207",-110.2664369,44.9041709
"208",-110.2566075,44.9074512
"209",-110.2607292,44.9045411
"210",-110.2625825,44.9042742
"211",-110.2584325,44.9071667
"212",-110.26249,44.9043872
"213",-110.261765,44.9036207
"214",-110.2694665,44.9058569
"215",-110.2617563,44.9082358
"216",-110.2618807,44.9039171
"217",-110.2603622,44.9036537
"218",-110.2665375,44.9033773
"219",-110.2588742,44.9070535
"220",-110.261803,44.9035339
"221",-110.2568172,44.9023429
"222",-110.2587226,44.9038485
"223",-110.2617062,44.9035218
"224",-110.2606915,44.9062585
"225",-110.2600477,44.9060618
"226",-110.2634193,44.9036769
"227",-110.2673209,44.9024106
"228",-110.2590297,44.9054847
"229",-110.2622675,44.9036586
"230",-110.2592868,44.9049005
"231",-110.2597356,44.9048375
"232",-110.259658,44.9057015
"233",-110.2629688,44.905774
"234",-110.251563,44.9065151
"235",-110.2597456,44.904786
"236",-110.2543553,44.9023913
"237",-110.2504939,44.9056424
"238",-110.2572197,44.9000202
"239",-110.2622766,44.9038424
"240",-110.260916,44.9055686
"241",-110.2595139,44.9055026
"242",-110.2622162,44.9039188
"243",-110.2613769,44.9033072
"244",-110.2612579,44.9046082
"245",-110.2642913,44.9028471
"246",-110.2591645,44.9051918
"247",-110.2664236,44.9047662
"248",-110.2468962,44.9032806
"249",-110.2604459,44.9066789
"250",-110.2615173,44.9079259
"251",-110.2500424,44.9032271
"252",-110.2555801,44.8996625
"253",-110.2583677,44.900967
"254",-110.2608722,44.9039593
"255",-110.2702824,44.9041891
"256",-110.2701767,44.9089589
"257",-110.2430895,44.9010366
"258",-110.2489388,44.8985851
"259",-110.2486568,44.8976518
"260",-110.2632649,44.9074066
"261",-110.2574119,44.9049722
"262",-110.2472663,44.9047952
"263",-110.261874,44.903808
"264",-110.261956,44.9037898
"265",-110.2578236,44.9064776
"266",-110.2566311,44.9066876
"267",-110.2592864,44.9065981
"268",-110.262006,44.9037487
"269",-110.2517884,44.8973415
"270",-110.2552667,44.901117
"271",-110.2590575,44.905285
"272",-110.2616916,44.9034668
"273",-110.2587671,44.9009711
"274",-110.2592844,44.9009517
"275",-110.256466,44.8961586
"276",-110.2583933,44.9010391
"277",-110.2620392,44.9035465
"278",-110.2610554,44.9056855
"279",-110.2681675,44.9083739
"280",-110.2589555,44.9050061
"281",-110.2664677,44.9045654
"282",-110.2619945,44.9037746
"283",-110.2620479,44.9034245
"284",-110.2579581,44.9054279
"285",-110.259244,44.9051767
"286",-110.260467,44.9056313
"287",-110.2619601,44.9069223
"288",-110.2661414,44.9019818
"289",-110.2615292,44.9032707
"290",-110.2589811,44.9011337
"291",-110.262027,44.9037738
"292",-110.2510909,44.8992062
"293",-110.2586436,44.9011711
"294",-110.2593238,44.9026612
"295",-110.262103,44.9035576
"296",-110.2498684,44.8973876
"297",-110.2610854,44.9015495
"298",-110.2591482,44.9007713
"299",-110.2637223,44.907336
"300",-110.26128,44.9063605
"301",-110.2617792,44.9066008
"302",-110.2623978,44.906548
"303",-110.2620008,44.9036917
"304",-110.2623578,44.9068679
"305",-110.2526806,44.8947242
"306",-110.2596824,44.8993906
"307",-110.2620567,44.9037371
